COMID,ELEV,CANOPY,SLOPE,PRECIP,CUMDRAINAG,S1_93_11,S30_2040D
23479767,2931.92,9.36,0.12458,1248.10000,1.017,5.15000,6.26000
23479771,2754.79,21.57,0.13418,1144.08000,16.605,6.09000,7.24000
23479771,2529.96,41.98,0.13418,1144.08000,16.605,6.81000,7.97000
23479771,2421.42,45.14,0.13418,1144.08000,16.605,7.22000,8.40000
23479771,2317.09,57.35,0.13418,1144.08000,16.605,7.56000,8.74000
23479771,2222.62,67.31,0.13418,1144.08000,16.605,7.88000,9.07000
23479771,2130.91,53.61,0.13418,1144.08000,16.605,8.40000,9.61000
23479773,2074.17,27.39,0.03672,759.40530,68.783,10.36000,11.62000
23479775,2141.03,39.29,0.03587,818.48800,60.830,9.58000,10.82000
23479741,2221.47,61.09,0.03096,1216.56400,44.234,8.62000,9.84000
23479745,2269.32,65.14,0.02882,1283.08800,35.704,8.28000,9.48000
23479749,2342.30,62.24,0.05268,1292.98700,22.327,7.71000,8.90000
23479785,2252.78,48.75,0.04461,1067.73500,26.401,8.11000,9.30000
23479787,2347.54,52.01,0.05392,1325.28500,17.567,7.34000,8.52000
23479789,2652.05,11.79,0.12330,1349.96700,6.596,5.95000,7.08000
23479789,2531.73,52.52,0.12330,1349.96700,6.596,6.10000,7.24000
23480237,2231.65,11.25,0.00841,798.75220,48.769,8.36000,9.57000
23480237,2224.51,3.23,0.00841,798.75220,48.769,8.34000,9.54000
23480243,2256.99,70.60,0.01691,827.46530,31.344,7.12000,8.29000
23480245,2283.96,64.54,0.02724,1038.83400,21.149,6.83000,8.00000
23480247,2337.77,60.92,0.01950,1078.63900,16.217,6.83000,7.99000
23480247,2319.52,69.69,0.01950,1078.63900,16.217,6.81000,7.97000
23480251,2505.99,50.35,0.09394,1136.76600,5.298,5.73000,6.87000
23480251,2404.34,65.47,0.09394,1136.76600,5.298,6.03000,7.17000
23479875,2548.15,36.00,0.04501,995.40490,12.583,7.07000,8.24000
23479877,2603.70,40.18,0.05402,1029.55700,7.598,6.74000,7.90000
23479881,2756.35,11.24,0.12278,1049.96000,2.080,5.88000,7.02000
23479889,2436.87,49.41,0.15093,664.16670,2.343,7.38000,8.56000
